date,1-min,Nodes,CPUs,Procs
2022/12/11-20:35:15,5.66,38,355,13
2022/12/11-20:35:30,5.66,38,355,13.533333333
2022/12/11-20:35:45,5.64,38,355,14
2022/12/11-20:36:00,5.64,38,355,14
2022/12/11-20:36:15,5.61,38,355,15
2022/12/11-20:36:30,5.51,38,355,14
2022/12/11-20:36:45,5.51,38,355,15
2022/12/11-20:37:00,5.51,38,355,14.066666667
2022/12/11-20:37:15,5.538,38,355,14
2022/12/11-20:37:30,5.2973333333,38,355,14
2022/12/11-20:37:45,5.28,38,355,17
2022/12/11-20:38:00,5.23,38,355,17
2022/12/11-20:38:15,5.33,38,355,20
2022/12/11-20:38:30,5.33,38,355,20
2022/12/11-20:38:45,5.33,38,355,20
2022/12/11-20:39:00,5.3393333333,38,355,20
2022/12/11-20:39:15,5.508,38,355,21.866666667
2022/12/11-20:39:30,5.436,38,355,18.266666667
2022/12/11-20:39:45,5.43,38,355,18.933333333
2022/12/11-20:40:00,5.4486666667,38,355,19
2022/12/11-20:40:15,5.5166666667,38,355,19
2022/12/11-20:40:30,5.63,38,355,18
2022/12/11-20:40:45,5.6626666667,38,355,18
2022/12/11-20:41:00,5.596,38,355,18
2022/12/11-20:41:15,5.5,38,355,20.866666667
2022/12/11-20:41:30,5.472,38,355,19.133333333
2022/12/11-20:41:45,5.44,38,355,18
2022/12/11-20:42:00,5.4,38,355,18
2022/12/11-20:42:15,5.376,38,355,17.733333333
2022/12/11-20:42:30,5.32,38,355,14
2022/12/11-20:42:45,5.32,38,355,14.533333333
2022/12/11-20:43:00,5.32,38,355,10.266666667
2022/12/11-20:43:15,5.3946666667,38,355,7
2022/12/11-20:43:30,5.538,38,355,7
2022/12/11-20:43:45,5.598,38,355,7
2022/12/11-20:44:00,5.6953333333,38,355,9.3333333333
2022/12/11-20:44:15,5.77,38,355,13.8
2022/12/11-20:44:30,5.77,38,355,21
2022/12/11-20:44:45,5.7966666667,38,355,21.866666667
2022/12/11-20:45:00,6.0846666667,38,355,22
2022/12/11-20:45:15,6.0973333333,38,355,22
2022/12/11-20:45:30,5.976,38,355,16.8
2022/12/11-20:45:45,5.94,38,355,13
2022/12/11-20:46:00,5.94,38,355,13
2022/12/11-20:46:15,5.924,38,355,12.066666667
2022/12/11-20:46:30,5.788,38,355,12
2022/12/11-20:46:45,5.7993333333,38,355,12.466666667
2022/12/11-20:47:00,5.734,38,355,10.6
2022/12/11-20:47:15,5.74,38,355,7
2022/12/11-20:47:30,5.74,38,355,7
2022/12/11-20:47:45,5.756,38,355,7
2022/12/11-20:48:00,5.7413333333,38,355,6.6
2022/12/11-20:48:15,5.7033333333,38,355,9.6666666667
2022/12/11-20:48:30,5.6133333333,38,355,17
2022/12/11-20:48:45,5.54,38,355,18.733333333
2022/12/11-20:49:00,5.54,38,355,19
2022/12/11-20:49:15,5.5566666667,38,355,19
2022/12/11-20:49:30,5.762,38,355,19
2022/12/11-20:49:45,5.8866666667,38,355,18
2022/12/11-20:50:00,5.7546666667,38,355,16.533333333
2022/12/11-20:50:15,5.63,38,355,18
2022/12/11-20:50:30,5.63,38,355,18
2022/12/11-20:50:45,5.606,38,355,18
2022/12/11-20:51:00,5.4386666667,38,355,18.266666667
2022/12/11-20:51:15,5.6433333333,38,355,19
2022/12/11-20:51:30,6.01,38,355,15.8
2022/12/11-20:51:45,6.01,38,355,15
2022/12/11-20:52:00,5.99,38,355,15.333333333
2022/12/11-20:52:15,5.89,38,355,16.333333333
2022/12/11-20:52:30,5.79,38,355,17
2022/12/11-20:52:45,5.81,38,355,17
2022/12/11-20:53:00,5.7766666667,38,355,17.8
2022/12/11-20:53:15,5.79,38,355,18
2022/12/11-20:53:30,5.798,38,355,17.2
2022/12/11-20:53:45,5.9613333333,38,355,15
2022/12/11-20:54:00,6.326,38,355,15
2022/12/11-20:54:15,6.3133333333,38,355,14.733333333
2022/12/11-20:54:30,6.4173333333,38,355,14
2022/12/11-20:54:45,6.3,38,355,14
2022/12/11-20:55:00,6.3,38,355,14
2022/12/11-20:55:15,6.268,38,355,14
2022/12/11-20:55:30,6.142,38,355,14.2
2022/12/11-20:55:45,6.13,38,355,15
2022/12/11-20:56:00,6.0366666667,38,355,16.066666667
2022/12/11-20:56:15,6,38,355,19.533333333
2022/12/11-20:56:30,6,38,355,21
2022/12/11-20:56:45,6.014,38,355,21.2
2022/12/11-20:57:00,6.038,38,355,21.8
2022/12/11-20:57:15,5.888,38,355,20.4
2022/12/11-20:57:30,5.8026666667,38,355,17.733333333
2022/12/11-20:57:45,5.81,38,355,17
2022/12/11-20:58:00,5.81,38,355,17
2022/12/11-20:58:15,5.812,38,355,17
2022/12/11-20:58:30,5.814,38,355,17
2022/12/11-20:58:45,5.782,38,355,17.2
2022/12/11-20:59:00,5.724,38,355,17.2
2022/12/11-20:59:15,5.62,38,355,14
2022/12/11-20:59:30,5.62,38,355,13.8
2022/12/11-20:59:45,5.576,38,355,13
2022/12/11-21:00:00,5.6466666667,38,355,12.333333333
2022/12/11-21:00:15,5.6633333333,38,355,16.666666667
2022/12/11-21:00:30,5.71,38,355,19.2
2022/12/11-21:00:45,5.76,38,355,20
2022/12/11-21:01:00,5.76,38,355,20
2022/12/11-21:01:15,5.7546666667,38,355,20
2022/12/11-21:01:30,5.694,38,355,20
2022/12/11-21:01:45,5.6626666667,38,355,17.8
2022/12/11-21:02:00,5.7406666667,38,355,18.066666667
2022/12/11-21:02:15,5.77,38,355,21
2022/12/11-21:02:30,5.77,38,355,21
2022/12/11-21:02:45,6.0693333333,38,355,21
2022/12/11-21:03:00,6.1666666667,38,355,21.666666667
2022/12/11-21:03:15,6.2366666667,38,355,21
2022/12/11-21:03:30,6.3533333333,38,355,17.2
2022/12/11-21:03:45,6.38,38,355,18
2022/12/11-21:04:00,6.38,38,355,18
2022/12/11-21:04:15,6.1573333333,38,355,18
2022/12/11-21:04:30,5.95,38,355,15.333333333
2022/12/11-21:04:45,5.81,38,355,13.8
2022/12/11-21:05:00,5.8626666667,38,355,13.2
2022/12/11-21:05:15,5.9,38,355,14
2022/12/11-21:05:30,5.9,38,355,14.933333333
2022/12/11-21:05:45,5.7773333333,38,355,15.333333333
2022/12/11-21:06:00,5.6766666667,38,355,15
2022/12/11-21:06:15,5.7126666667,38,355,14.8
2022/12/11-21:06:30,6.07,38,355,14.133333333
2022/12/11-21:06:45,6.25,38,355,14.2
2022/12/11-21:07:00,6.25,38,355,13
2022/12/11-21:07:15,6.2553333333,38,355,13
2022/12/11-21:07:30,6.098,38,355,13
2022/12/11-21:07:45,5.976,38,355,12.866666667
2022/12/11-21:08:00,5.812,38,355,12.533333333
2022/12/11-21:08:15,5.7,38,355,20
2022/12/11-21:08:30,5.7,38,355,18.266666667
2022/12/11-21:08:45,5.7053333333,38,355,18
2022/12/11-21:09:00,5.6806666667,38,355,18
2022/12/11-21:09:15,5.6906666667,38,355,18
2022/12/11-21:09:30,5.668,38,355,13.2
2022/12/11-21:09:45,5.64,38,355,16
2022/12/11-21:10:00,5.64,38,355,16
2022/12/11-21:10:15,6.19,38,355,15
2022/12/11-21:10:30,6.22,38,355,15
2022/12/11-21:10:45,6.2,38,355,16
2022/12/11-21:11:00,6.34,38,355,9.4666666667
2022/12/11-21:11:15,6.34,38,355,10
2022/12/11-21:11:30,6.34,38,355,10.2
2022/12/11-21:11:45,6.282,38,355,10.8
2022/12/11-21:12:00,6.1633333333,38,355,10.8
2022/12/11-21:12:15,6.06,38,355,14
2022/12/11-21:12:30,5.8366666667,38,355,17.466666667
2022/12/11-21:12:45,5.77,38,355,18
2022/12/11-21:13:00,5.77,38,355,17.8
2022/12/11-21:13:15,5.8126666667,38,355,16.4
2022/12/11-21:13:30,5.8046666667,38,355,13.8
2022/12/11-21:13:45,5.87,38,355,14.333333333
2022/12/11-21:14:00,5.8933333333,38,355,15.8
2022/12/11-21:14:15,5.89,38,355,19
2022/12/11-21:14:30,5.89,38,355,19
2022/12/11-21:14:45,5.8406666667,38,355,19
2022/12/11-21:15:00,5.774,38,355,14.333333333
2022/12/11-21:15:15,5.69,38,355,11.466666667
2022/12/11-21:15:30,5.778,38,355,8
2022/12/11-21:15:45,5.85,38,355,8
2022/12/11-21:16:00,5.85,38,355,8
2022/12/11-21:16:15,5.802,38,355,13.4
2022/12/11-21:16:30,5.7146666667,38,355,17
2022/12/11-21:16:45,5.71,38,355,17.266666667
2022/12/11-21:17:00,5.792,38,355,19.4
2022/12/11-21:17:15,5.86,38,355,22
2022/12/11-21:17:30,5.86,38,355,22
2022/12/11-21:17:45,5.962,38,355,21.4
2022/12/11-21:18:00,5.9113333333,38,355,21
2022/12/11-21:18:15,5.968,38,355,20.933333333
2022/12/11-21:18:30,6.262,38,355,19.866666667
2022/12/11-21:18:45,6.37,38,355,18
2022/12/11-21:19:00,6.37,38,355,18
2022/12/11-21:19:15,6.2313333333,38,355,18
2022/12/11-21:19:30,5.9546666667,38,355,16
2022/12/11-21:19:45,5.7473333333,38,355,16.466666667
2022/12/11-21:20:00,5.696,38,355,17
2022/12/11-21:20:15,5.68,38,355,24.933333333
2022/12/11-21:20:30,5.68,38,355,26.466666667
2022/12/11-21:20:45,5.8013333333,38,355,27
2022/12/11-21:21:00,6.128,38,355,27
2022/12/11-21:21:15,6.326,38,355,26.2
2022/12/11-21:21:30,6.12,38,355,22.466666667
2022/12/11-21:21:45,6,38,355,19.533333333
2022/12/11-21:22:00,6,38,355,18.6
2022/12/11-21:22:15,5.944,38,355,18
2022/12/11-21:22:30,5.8433333333,38,355,17.666666667
2022/12/11-21:22:45,5.8333333333,38,355,16.666666667
2022/12/11-21:23:00,5.8233333333,38,355,14.666666667
2022/12/11-21:23:15,5.71,38,355,12
2022/12/11-21:23:30,5.71,38,355,12.333333333
2022/12/11-21:23:45,5.66,38,355,13
2022/12/11-21:24:00,5.6106666667,38,355,13
2022/12/11-21:24:15,5.7606666667,38,355,13.8
2022/12/11-21:24:30,5.878,38,355,16.2
2022/12/11-21:24:45,5.91,38,355,17
2022/12/11-21:25:00,5.91,38,355,16.733333333
2022/12/11-21:25:15,5.91,38,355,16
2022/12/11-21:25:30,6.0566666667,38,355,16
2022/12/11-21:25:45,6.444,38,355,15.8
2022/12/11-21:26:00,6.4413333333,38,355,16.333333333
2022/12/11-21:26:15,6.61,38,355,20
2022/12/11-21:26:30,6.61,38,355,20.2
2022/12/11-21:26:45,6.54,38,355,21
2022/12/11-21:27:00,5.9593333333,38,355,20.266666667
2022/12/11-21:27:15,5.852,38,355,19
2022/12/11-21:27:30,5.872,38,355,16.333333333
2022/12/11-21:27:45,5.92,38,355,17
2022/12/11-21:28:00,5.92,38,355,17.2
2022/12/11-21:28:15,5.952,38,355,19.6
2022/12/11-21:28:30,6.1253333333,38,355,24
2022/12/11-21:28:45,6.312,38,355,23.733333333
2022/12/11-21:29:00,6.204,38,355,23.533333333
2022/12/11-21:29:15,6.27,38,355,25
2022/12/11-21:29:30,6.27,38,355,24.733333333
2022/12/11-21:29:45,6.2593333333,38,355,22.4
2022/12/11-21:30:00,6.3633333333,38,355,18
2022/12/11-21:30:15,6.2606666667,38,355,16.933333333
2022/12/11-21:30:30,6.18,38,355,15.666666667
2022/12/11-21:30:45,6.18,38,355,15
2022/12/11-21:31:00,6.1733333333,38,355,14.666666667
2022/12/11-21:31:15,6.2,38,355,14
2022/12/11-21:31:30,6.204,38,355,13.6
2022/12/11-21:31:45,6.038,38,355,12.6
2022/12/11-21:32:00,5.908,38,355,13.6
2022/12/11-21:32:15,5.83,38,355,18
2022/12/11-21:32:30,5.84,38,355,22
2022/12/11-21:32:45,5.83,38,355,24.6
2022/12/11-21:33:00,5.742,38,355,25
2022/12/11-21:33:15,5.7,38,355,23.4
2022/12/11-21:33:30,5.7173333333,38,355,21.666666667
2022/12/11-21:33:45,5.72,38,355,23
2022/12/11-21:34:00,5.7133333333,38,355,23
2022/12/11-21:34:15,5.62,38,355,21.4
2022/12/11-21:34:30,5.4453333333,38,355,21
2022/12/11-21:34:45,5.4166666667,38,355,20.8
2022/12/11-21:35:00,5.3833333333,38,355,18
