Timestamp,In,Out
1670785980,2733180.5153,3158215.0153
1670785995,2693065.1333,3076099.3907
1670786010,2449391.5373,2530956.582
1670786025,2606867.8567,2542166.9647
1670786040,2628813.422,2584234.998
1670786055,2724071.9533,2833857.5553
1670786070,2496505.5033,2823105.0387
1670786085,2533415.99,2845041.3587
1670786100,2747130.2953,2852946.902
1670786115,2752293.482,2855055.708
1670786130,2846446.438,2862122.7293
1670786145,3330300.708,2859980.718
1670786160,3290618.922,2789735.06
1670786175,2994012.8,2508393.176
1670786190,2429950.8227,2502482.512
1670786205,2477972.432,2606664.254
1670786220,2688822.638,3043076.832
1670786235,2601354.1767,2887032.6187
1670786250,2405730.866,2461330.6367
1670786265,2531042.7353,2469365.0907
1670786280,2604286.194,2600707.1527
1670786295,2751592.532,2958413.266
1670786310,2534333.4653,2946187.1247
1670786325,2591725.518,2907526.3233
1670786340,2751552.7053,2804413.2847
1670786355,2750399.826,2804459.12
1670786370,2700917.9987,2802372.8047
1670786385,2573819.0587,2803211.3733
1670786400,2550723.6393,2759311.3653
1670786415,2522564.47,2635581.5767
1670786430,2592504.43,2631916.3467
1670786445,2859931.05,2981630.2933
1670786460,3392028.026,3678195.4533
1670786475,3251113.732,3415075.1893
1670786490,2769864.4507,2685228.6467
1670786505,2522506.756,2675100.44
1670786520,2543941.652,2711660.118
1670786535,2633033.51,2855294.488
1670786550,2644881.604,2853176.542
1670786565,2639047.554,2854262.344
1670786580,2603678.894,2856184.268
1670786595,2596683.324,2839492.992
1670786610,2778474.9667,2774079.0027
1670786625,3350715.106,2781579.102
1670786640,3332653.328,2743294.358
1670786655,3084777.304,2580088.184
1670786670,2393210.46,2567251.284
1670786685,2484109.658,2671639.804
1670786700,2864697.476,3114914.868
1670786715,2809250.748,3000763.498
1670786730,2568837.4293,2536128.0233
1670786745,2455770.6193,2522622.3233
1670786760,2479606.396,2567461.048
1670786775,2622864.2573,2841453.6313
1670786790,2641621.1107,2837250.018
1670786805,2624954.3087,2818937.4
1670786820,2600834.2387,2817960.988
1670786835,2604431.82,2825669.2267
1670786850,2683133.846,2960593.6293
1670786865,2841497.042,2967979.5507
1670786880,2837992.9887,2935588.7873
1670786895,2772503.804,3444613.74
1670786910,2589372.428,6296556.16
1670786925,2699928.9973,5861732.842
1670786940,3408889.8107,3017494.09
1670786955,3400255.1973,2969198.572
1670786970,3319506.0193,2789426.702
1670786985,3223207.5153,3702347.504
1670787000,3221968.4347,3713307.1147
1670787015,3188602.2807,4029389.8467
1670787030,2676244.492,7475189.23
1670787045,3122229.734,7912827.568
1670787060,3268289.4127,3542341.1507
1670787075,3268289.4127,3542341.1507
1670787090,2818832.5687,2631518.3607
1670787105,2740454.462,2626858.256
1670787120,2735313.53,2645235.3387
1670787135,2768604.5107,3557480.846
1670787150,3167981.1093,8724502.1153
1670787165,3218598.1633,8109501.3627
1670787180,2759423.2867,2964904.2893
1670787195,2748005.672,2935895.484
1670787210,2686350.41,2818745.188
1670787225,2616130.126,2816546.214
1670787240,2592303.608,2764975.172
1670787255,2501754.7733,2555796.668
1670787270,2514951.256,2554797.592
1670787285,2541010.592,2646057.564
1670787300,2658141.916,3023800.864
1670787315,2613424.232,2922641.806
1670787330,2461871.74,2519161.482
1670787345,2583352.5267,2525966.146
1670787360,2610092.982,2586906.7653
1670787375,2611415.7567,2748069.8167
1670787390,2412006.7,2737654.978
1670787405,2513359.982,5010930.232
1670787420,2915192.064,14108782.352
1670787435,2907069.496,14099371.814
1670787450,2815572.6213,11069603.027
1670787465,2637786.3227,2837255.134
1670787480,2594086.4507,2770535.5793
1670787495,2474235.6313,2586203.478
1670787510,2480239.37,2586715.0327
1670787525,2572084.0673,2745730.7327
1670787540,2816823.2847,3171667.2067
1670787555,2701312.9833,2937574.3533
1670787570,2546256.502,2489808.852
1670787585,2656007.04,2516549.59
1670787600,2704682.38,2659723.996
1670787615,2721546.5867,4785812.0433
1670787630,2608021.0147,8608263.014
1670787645,2810315.9847,7259513.7687
1670787660,3359810.09,3544871.6027
1670787675,3270738.5933,3371195.27
1670787690,2951441.368,2890690.004
1670787705,2656732.144,2877111.202
1670787720,2617986.452,2816493.022
1670787735,2478164.3947,2578030.694
1670787750,2619176.1047,2718534.7367
1670787765,2991090.2147,3259192.6613
1670787780,4090617.998,3199684.794
1670787795,3893722.13,2822794.8113
1670787810,3893722.13,2822794.8113
1670787825,2613748.52,6476167.35
1670787840,2627831.4,6500828.5987
1670787855,2768613.876,6519649.5787
1670787870,2604952.5467,2801975.0133
1670787885,2639374.5407,2860929.3813
1670787900,2667881.35,2862794.8387
1670787915,2667099.7753,2861154.7913
1670787930,2694615.5647,2847934.326
1670787945,2694615.5647,2847934.326
1670787960,2722537.44,2849175.65
1670787975,2377828.89,2583418.08
1670787990,2376139.3233,2581911.9507
1670788005,2682135.1,3120351.19
1670788020,2869491.108,3131677.4793
1670788035,2883339.24,3132372.34
1670788050,2502738.5567,2489555.6947
1670788065,2462171.444,2505480.196
1670788080,2475974.626,2527980.972
1670788095,2694178.9967,2864041.6253
1670788110,2645532.4867,2865546.964
1670788125,2676438.1633,2938625.6113
1670788140,2700919.678,2928733.18
1670788155,2666348.302,2868885.49
1670788170,2539436.4633,2630066.71
1670788185,2600675.7747,2634501.1653
1670788200,2599520.5333,2632912.0087
1670788215,2569570.726,2613565.6647
1670788230,2517444.894,2726327.5247
1670788245,3044445.9413,3519013.8407
1670788260,3462767.668,3549128.8667
1670788275,3430506.1387,3498945.9527
1670788290,2911674.612,2786205.9713
1670788305,2542999.9707,2760590.2667
1670788320,2544777.7473,2755367.884
1670788335,2608321.5567,2704173.756
1670788350,2604732.0847,2720320.3867
1670788365,2656857.838,2985683.9027
1670788380,2670136.078,2997971.4493
1670788395,2652687.5353,2945561.9267
1670788410,2555398.4913,2602144.1193
1670788425,2654397.702,2596260.3127
1670788440,2648004.4573,2615361.5367
1670788455,2634544.2073,2779253.8213
1670788470,2368096.7813,2766344.0427
1670788485,2474587.5947,2772142.1093
1670788500,2730883.11,2786464.9333
1670788515,2723497.5167,2779199.9673
1670788530,2610559.834,2816980.0753
1670788545,2516294.852,3732909.688
1670788560,2523881.91,3737484.3827
1670788575,2698711.9627,3699069.022
1670788590,3930331.1013,2734590.298
1670788605,3686374.592,2950476.0047
1670788620,3686374.592,2950476.0047
1670788635,3379293.1813,2944680.332
1670788650,3352027.5,3269581.7227
1670788665,2934917.5913,7834927.4507
1670788680,2908085.878,7804106.4027
1670788695,2732232.086,8516773.5573
1670788710,2530414.6693,14236215.701
1670788725,2659209.0767,13651335.401
1670788740,2823427.3313,3310671.3447
1670788755,2823427.3313,3310671.3447
1670788770,2726301.002,3159463.8953
1670788785,2560144.262,2782906.5007
1670788800,2560144.262,2782906.5007
1670788815,2512084.43,2693238.31
1670788830,2693994.96,2698976.71
1670788845,3302984.8,3798400.46
1670788860,3352657.03,3802451.75
1670788875,3353039.062,3803136.2753
1670788890,2704393.5793,2670269.946
1670788905,2554340.428,2583274.142
1670788920,2537929.744,2582405.6913
1670788935,2592190.3347,2847289.7467
1670788950,2599890.3927,2886737.9767
1670788965,2619911.21,2921441.49
1670788980,2757359.7747,2928285.6453
1670788995,2777356.4213,2927561.3467
1670789010,2784245.2833,4646337.03
1670789025,3617822.7667,4801110.4593
1670789040,3744375.3067,4805687.438
1670789055,2433050.0167,2811264.9147
1670789070,2337886.6,2667038.582
1670789085,2610947.564,3058131.56
1670789100,2938809.2733,3099139.1907
1670789115,2960917.746,3099900.6033
1670789130,2595987.5393,2599314.6813
1670789145,2417444.7273,2557612.5093
1670789160,2396635.4233,2561237.4513
1670789175,2642747.8367,2827405.0567
1670789190,2660597.3793,2845336.236
1670789205,2626119.9033,2807348.948
1670789220,2591330.2693,2805337.61
1670789235,2589150.9,2806036.14
1670789250,2599101.96,2829203.31
1670789265,2754130.4933,2834582.0073
1670789280,2764027.36,2833738.16
1670789295,2367023.1253,2617928.2253
1670789310,2339015.4467,2603253.718
1670789325,2603644.7607,3005431.578
1670789340,2924705.3873,3078773.9967
1670789355,2971278.3247,3085119.2487
1670789370,2649514.4,2692421.4347
1670789385,3083489.868,2634460.916
1670789400,3117547.188,2634436.626
1670789415,2828857.902,2876282.7127
1670789430,2785622.458,2914679.1433
1670789445,3003779.89,3363154.194
1670789460,3163615.298,3482295.848
1670789475,3198810.806,3492597.422
1670789490,2838716.226,2790148.61
1670789505,2672981.886,2610007.844
1670789520,2777460.354,2859351.018
1670789535,2592985.696,2910732.254
1670789550,2538655.88,2905604.702
1670789565,2511535.862,2872002.688
